TimestampKST,GNSSTime,Latitude,Longitude,FixType,HPE(m),NorthingError(m),EastingError(m),MessageRate(Hz)
2025-07-05 22:48:23.773321+09:00,13:48:24.260000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,31
2025-07-05 22:48:23.802855+09:00,13:48:24.300000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,31
2025-07-05 22:48:23.845827+09:00,13:48:24.330000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.82,5380678.35,31
2025-07-05 22:48:23.881889+09:00,13:48:24.360000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.82,5380678.35,31
2025-07-05 22:48:23.908386+09:00,13:48:24.390000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.82,5380678.35,31
2025-07-05 22:48:23.926657+09:00,13:48:24.430000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.82,5380678.35,31
2025-07-05 22:48:23.966945+09:00,13:48:24.460000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.82,5380678.35,31
2025-07-05 22:48:23.998917+09:00,13:48:24.490000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.82,5380678.35,31
2025-07-05 22:48:24.021108+09:00,13:48:24.530000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.82,5380678.35,31
2025-07-05 22:48:24.067976+09:00,13:48:24.560000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.82,5380678.35,31
2025-07-05 22:48:24.101174+09:00,13:48:24.590000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.82,5380678.35,31
2025-07-05 22:48:24.140424+09:00,13:48:24.630000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.82,5380678.35,31
2025-07-05 22:48:24.160837+09:00,13:48:24.660000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.82,5380678.35,31
2025-07-05 22:48:24.197113+09:00,13:48:24.690000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.82,5380678.35,31
